depot,n_rows,RMSE,MAE,MAPE,R2
ARMOOR,85,230467.5913629919,145409.0124061176,9.515372340091837,0.15124293243744502
BANSWADA,90,261681.02315580405,169508.00727077777,11.18616195591407,0.3027570905297492
BHUPALAPALLAY,90,308454.84149771795,184808.07508333336,11.202282853090448,-0.145727315359528
BODHAN,90,250260.38482307995,158982.69227555557,8.73136910341016,0.1453892058188503
CONTONMENT,90,224513.23722442886,156076.09551200003,8.774714094842022,0.10546984077195709
HAKIMPET,90,159110.77398707473,105376.73228391666,8.21687924386155,0.3549527972838503
HANAMKONDA,90,355502.5435185111,243027.17966733332,10.895537690254837,0.4261918501123805
HYDERABAD-I,90,242705.10602704185,190139.25852077777,11.591169488362711,0.2795070861481723
HYDERABAD-II,90,171493.03400154645,137019.85369622224,10.088321968826632,0.3694459894366574
IBRAHIMPATNAM,90,295800.6732522316,165968.75305383335,7.829471226319748,0.33528244259072915
JANGAON,90,419528.2297099402,256533.8065977778,10.441201689562371,0.23646995779622615
KARIMNAGAR-I,90,229132.31066146703,151839.7707272222,9.068150996965958,0.23902250926968394
KUKATPALLY,90,223797.1688258784,134678.45673955558,8.117732541901432,0.38306793465342936
MAHABOOBABAD,90,294584.6033944111,163885.74803,10.902672766307392,-0.22057587211233787
NARSAMPET,90,300705.9461999419,180024.14455822224,9.777587337266038,-0.13070476156288846
NIZAMABAD-I,90,309687.43164517725,183468.38544899994,9.687508076047973,0.1808067452636377
PARKAL,90,306789.04803164833,165554.62666272224,10.207656180378736,-0.19807570976100353
THORROR,90,369520.8861386602,244844.26598913892,11.923109433000228,0.1097196064777951
WARANGAL-I,90,277263.51912545995,189136.6594177778,8.160364366877634,0.42708422093602305
WARANGAL-II,89,387370.5768938735,284104.96382292145,8.468663218113845,-0.15506303885961548
